cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count,topic
83.0,US,Matthew Matero,3.0,https://openalex.org/A5017359123,https://api.openalex.org/works?filter=author.id:A5017359123,17.0,Computer science
44.0,CH,Christian Zingg,3.0,https://openalex.org/A5013788122,https://api.openalex.org/works?filter=author.id:A5013788122,14.0,Computer science
105.0,GB,Nadine M. Smit,4.0,https://openalex.org/A5012762776,https://api.openalex.org/works?filter=author.id:A5012762776,8.0,Psychology
64.0,CN,Xuwu Cao,3.0,https://openalex.org/A5016376761,https://api.openalex.org/works?filter=author.id:A5016376761,6.0,Computer science
32.0,CA,Tony Mason,3.0,https://openalex.org/A5041896410,https://api.openalex.org/works?filter=author.id:A5041896410,6.0,Mathematics
90.0,US,K. Unterkofler,4.0,https://openalex.org/A5034552599,https://api.openalex.org/works?filter=author.id:A5034552599,5.0,Computer science
443849.0,CN,Wei Liu,217.0,https://openalex.org/A5071037763,https://api.openalex.org/works?filter=author.id:A5071037763,21713.0,Biology
23244.0,US,Mark P. Purdue,75.0,https://openalex.org/A5019866236,https://api.openalex.org/works?filter=author.id:A5019866236,710.0,Medicine
8343.0,IN,Bikas K. Chakrabarti,41.0,https://openalex.org/A5044802404,https://api.openalex.org/works?filter=author.id:A5044802404,608.0,Physics
19903.0,CN,Yang Chai,73.0,https://openalex.org/A5011166102,https://api.openalex.org/works?filter=author.id:A5011166102,487.0,Chemistry
3595.0,US,Boyoung Kim,30.0,https://openalex.org/A5028064690,https://api.openalex.org/works?filter=author.id:A5028064690,536.0,Biology
41624.0,NZ,L. John Horwood,111.0,https://openalex.org/A5014551833,https://api.openalex.org/works?filter=author.id:A5014551833,452.0,Medicine
26287.0,US,Matthew Lee,68.0,https://openalex.org/A5036211813,https://api.openalex.org/works?filter=author.id:A5036211813,834.0,Biology
3757.0,CA,Scott Sanner,28.0,https://openalex.org/A5028174137,https://api.openalex.org/works?filter=author.id:A5028174137,317.0,Computer science
2245.0,GB,Julián Padget,23.0,https://openalex.org/A5005596564,https://api.openalex.org/works?filter=author.id:A5005596564,308.0,Computer science
9808.0,US,Paolo Santi,45.0,https://openalex.org/A5021463856,https://api.openalex.org/works?filter=author.id:A5021463856,314.0,Computer science
24007.0,NL,Ronald P. Stolk,78.0,https://openalex.org/A5009609107,https://api.openalex.org/works?filter=author.id:A5009609107,285.0,Medicine
6439.0,NL,Paul M. G. Emmelkamp,37.0,https://openalex.org/A5083093528,https://api.openalex.org/works?filter=author.id:A5083093528,279.0,Psychology
